수취확인                                Y                                                 Y
수취거부                                N                                                 Y
연락안함                                X                                                 Y
접촉진행중                              0                                                 Y
연락처 부재,핸드폰 결번(없음)           4                                                 Y
연락처 부재,연락처 결번(없음)           5                                                 Y
모두 부재                               6                                                 Y
모두 결번                               7                                                 Y
전화연락 안되고 주소있음                1                                                 Y
전화연락 안되고 주소없음                2                                                 Y
전화연락 되고 본인아님                  3                                                 Y
