OK택시                                  AA1003    AA0001    AA1003                        Y                               
가곡                                    300608    300001    300210                        Y                               
가금                                    301069    300001    300020                        Y                               
가남                                    101303    100002    100503                        Y                               
가능동                                  103861    100002    100735                        Y                               
가덕                                    300756    300001    300038                        Y                               
가동                                    702340    700001    700302                        Y                               
가락프라자                              016162    100001    014241                        Y                               
가례                                    612614    600001    610295                        Y                               
가북                                    612606    600001    610329                        Y                               
가산                                    102525    100002    100552                        Y                               
가산디지털                              014530    100001    013276                        Y                               
가야곡                                  311340    300001    310086                        Y                               
가은                                    701052    700001    700641                        Y                               
가은상괴                                703280    700001    700641                        Y                               
가음                                    702555    700001    700278                        Y                               
가조                                    610923    600001    610329                        Y                               
가창                                    701995    700001    703793                        Y                               
가천                                    700088    700001    700328                        Y                               
가평                                    100354    100002    100354                        Y                               
가평하면                                101840    100002    100354                        Y                               
가회                                    611939    600001    610352                        Y                               
각남                                    702092    700001    700369                        Y                               
각북                                    702100    700001    700369                        Y                               
간동                                    201764    200001    200907                        Y                               
간성                                    200949    200001    200923                        Y                               
간전                                    502351    500001    500199                        Y                               
갈담                                    400481    400001    400176                        Y                               
갈산                                    310474    300001    310060                        Y                               
갈산동                                  104638    100002    100115                        Y                               
감곡                                    401273    400001    400150                        Y                               
감문                                    702175    700001    700377                        Y                               
감물                                    300905    300001    300129                        Y                               
감천                                    701110    700001    700302                        Y                               
감포                                    700617    700001    700047                        Y                               
강경                                    310011    300001    310086                        Y                               
강경대흥동                              315424    300001    310086                        Y                               
강구                                    700773    700001    700385                        Y                               
강남터미날                              012740    100001    014167                        Y                               
강내                                    300749    300001    300038                        Y                               
강동                                    702373    700001    700047                        Y                               
강릉                                    200014    200001    200014                        Y                               
강릉교동                                202382    200001    200014                        Y                               
강릉노암동                              202101    200001    200014                        Y                               
강릉옥천                                205039    200001    200014                        Y                               
강릉원주대학교                          202085    200001    200014                        Y                               
강릉포남동                              202218    200001    200014                        Y                               
강림                                    201814    200001    200162                        Y                               
강상                                    102970    100002    100487                        Y                               
강성교통                                AA1047    AA0001    AA1047                        Y                               
강외                                    300848    300001    300038                        Y                               
강원구산                                201590    200001    200014                        Y                               
강원근남                                201707    200001    200881                        Y                               
강원금산                                201368    200001    200022                        Y                               
강원남면                                201301    200001    200360                        Y                               
