사은품지급료                            1010                                              Y                               
사은품발송우편료                        1020      2500                                    Y                               
집중대행수수료                          1030      800                                     Y                               
집중포장BOX비                           1040                                              Y                               
집중우편요금                            1050      2650                                    Y                               
집중수수료                              1060      150                                     Y                               
전달포장비                              1070      1230      1020                          Y                               
전달우편요금                            1080      2500                                    Y                               
반송료                                  1090      1000                                    Y                               
방문접수비                              1100      3000                                    Y                               
인터넷등록수수료                        1110      500                                     Y                               
우체국출고수수료                        1120      1400                                    Y                               
분실자회수비용                          2010      10000                                   Y                               
